ID,YCategoryName,階層
32713,キッズチェア、学習椅子,家具、インテリア > 椅子、スツール、座椅子 > キッズチェア、学習椅子
32713,学習椅子、キッズチェア,家具、インテリア > 子供部屋家具 > 学習椅子、キッズチェア
32720,バランスチェア,家具、インテリア > 椅子、スツール、座椅子 > バランスチェア
32722,ハンギングチェア,家具、インテリア > 椅子、スツール、座椅子 > ハンギングチェア
32732,椅子カバー,家具、インテリア > ファブリック、カバー類 > 椅子カバー
32734,正座椅子,家具、インテリア > 椅子、スツール、座椅子 > 正座椅子
32740,座椅子カバー,家具、インテリア > ファブリック、カバー類 > 座椅子カバー
32775,マントルピース,家具、インテリア > テーブル > マントルピース
32791,キッズテーブル,家具、インテリア > 子供部屋家具 > テーブル
32792,テーブル、デスクマット,家具、インテリア > テーブル > テーブル、デスクマット
32801,座卓、ちゃぶ台,家具、インテリア > テーブル > 座卓、ちゃぶ台
32809,システムベッド,家具、インテリア > ベッド、マットレス > ベッド > システムベッド
32809,システムベッド,家具、インテリア > 子供部屋家具 > ベッド > システムベッド
32810,子ども用学習机,ベビー、キッズ、マタニティ > 子ども用家具 > 子ども用学習机
32810,子供用学習机,家具、インテリア > 子供部屋家具 > 学習机 > 学習机
32820,ベッドフレーム,家具、インテリア > ベッド、マットレス > ベッド > ベッドフレーム
32821,三段ベッド,家具、インテリア > ベッド、マットレス > ベッド > 三段ベッド
32821,三段ベッド,家具、インテリア > 子供部屋家具 > ベッド > 三段ベッド
32823,すのこベッド,家具、インテリア > ベッド、マットレス > ベッド > すのこベッド
32832,天蓋、キャノピー,家具、インテリア > ベッド、マットレス > 天蓋、キャノピー
32836,マッサージ台、業務用ベッド,家具、インテリア > ベッド、マットレス > マッサージ台、業務用ベッド
32837,ベッドガード,家具、インテリア > ベッド、マットレス > ベッドガード
32840,その他ベッド、マットレス,家具、インテリア > ベッド、マットレス > その他ベッド、マットレス
32841,電話台、FAX台,家具、インテリア > テレビ台、キャビネット > 電話台、FAX台
32852,オープンシェルフ,家具、インテリア > ラック、シェルフ、本棚 > オープンシェルフ
